ts,marker_id,color,det_u,det_v,gt_u,gt_v,pixel_err_px,roll_deg,pitch_deg,yaw_deg,gt_depth_geom_m,gt_depth_img_m,da3_depth_m,da3_lin_m,da3_quad_m,err_raw_m,err_lin_m,err_quad_m,jitter_m,gt_x_cam_m,gt_y_cam_m,gt_z_cam_m,blob_area_px,detected
2129.394,da3_portrait_marker_red,red,nan,nan,237,133,nan,1.68346077562323E-15,0.11034425381626,-92.1794898129161,11.4082813262939,10,nan,nan,nan,11.4082813262939,1.16845643520355,0.582342803478241,0,0,,,,
2129.394,da3_portrait_marker_purple,purple,nan,nan,250,137,nan,1.68346077562323E-15,0.11034425381626,-92.1794898129161,11.4468536376953,10,nan,nan,nan,11.4468536376953,0.169179826974869,0.301056534051895,0,0,,,,
2129.394,da3_portrait_marker_green,green,nan,nan,245,124,nan,1.68346077562323E-15,0.11034425381626,-92.1794898129161,11.4297151565552,10,nan,nan,nan,11.4297151565552,0.568890571594238,1.30102527141571,0,0,,,,
2129.394,da3_portrait_marker_yellow,yellow,nan,nan,253,128,nan,1.68346077562323E-15,0.11034425381626,-92.1794898129161,11.4532070159912,10,nan,nan,nan,11.4532070159912,-0.0306757688522339,0.951069951057434,0,0,,,,
2129.394,da3_portrait_marker_orange,orange,nan,nan,259,134,nan,1.68346077562323E-15,0.11034425381626,-92.1794898129161,11.4730892181396,10,nan,nan,nan,11.4730892181396,-0.530314087867737,0.501107335090637,0,0,,,,
2129.43,da3_portrait_marker_red,red,nan,nan,237,133,nan,1.37907342209008E-15,0.151022752985345,-92.1794898129162,11.4042892456055,10,nan,nan,nan,11.4042892456055,1.16845631599426,0.590629637241364,0,0,,,,
2129.43,da3_portrait_marker_purple,purple,nan,nan,250,136,nan,1.37907342209008E-15,0.151022752985345,-92.1794898129162,11.4430599212646,10,nan,nan,nan,11.4430599212646,0.169179767370224,0.309370875358582,0,0,,,,
2129.43,da3_portrait_marker_green,green,nan,nan,245,124,nan,1.37907342209008E-15,0.151022752985345,-92.1794898129162,11.4252128601074,10,nan,nan,nan,11.4252128601074,0.568890452384949,1.30932724475861,0,0,,,,
2129.43,da3_portrait_marker_yellow,yellow,nan,nan,253,128,nan,1.37907342209008E-15,0.151022752985345,-92.1794898129162,11.44895362854,10,nan,nan,nan,11.44895362854,-0.0306758582592011,0.959388673305512,0,0,,,,
2129.43,da3_portrait_marker_orange,orange,nan,nan,259,134,nan,1.37907342209008E-15,0.151022752985345,-92.1794898129162,11.4691553115845,10,nan,nan,nan,11.4691553115845,-0.530314147472382,0.509440243244171,0,0,,,,
2129.462,da3_portrait_marker_red,red,nan,nan,237,133,nan,1.00635126114979E-15,0.159133265807022,-92.1794898129162,11.4005994796753,10,nan,nan,nan,11.4005994796753,1.16845655441284,0.592189967632294,0,0,,,,
2129.462,da3_portrait_marker_purple,purple,nan,nan,250,136,nan,1.00635126114979E-15,0.159133265807022,-92.1794898129162,11.4394102096558,10,nan,nan,nan,11.4394102096558,0.169179886579514,0.310936629772186,0,0,,,,
2129.462,da3_portrait_marker_green,green,nan,nan,245,124,nan,1.00635126114979E-15,0.159133265807022,-92.1794898129162,11.4214210510254,10,nan,nan,nan,11.4214210510254,0.568890631198883,1.31089043617249,0,0,,,,
2129.462,da3_portrait_marker_yellow,yellow,nan,nan,253,128,nan,1.00635126114979E-15,0.159133265807022,-92.1794898129162,11.4452104568481,10,nan,nan,nan,11.4452104568481,-0.0306757092475891,0.960955202579498,0,0,,,,
2129.462,da3_portrait_marker_orange,orange,nan,nan,259,134,nan,1.00635126114979E-15,0.159133265807022,-92.1794898129162,11.4654760360718,10,nan,nan,nan,11.4654760360718,-0.530313968658447,0.511009693145752,0,0,,,,
2129.511,da3_portrait_marker_red,red,nan,nan,237,133,nan,5.96354918776557E-16,0.100423078067259,-92.1794898129162,11.3938980102539,10,nan,nan,nan,11.3938980102539,1.16845631599426,0.580075204372406,0,0,,,,
2129.511,da3_portrait_marker_purple,purple,nan,nan,250,137,nan,5.96354918776557E-16,0.100423078067259,-92.1794898129162,11.4324207305908,10,nan,nan,nan,11.4324207305908,0.169179707765579,0.29878231883049,0,0,,,,
2129.511,da3_portrait_marker_green,green,nan,nan,245,124,nan,5.96354918776557E-16,0.100423078067259,-92.1794898129162,11.4154558181763,10,nan,nan,nan,11.4154558181763,0.568890452384949,1.2987539768219,0,0,,,,
2129.511,da3_portrait_marker_yellow,yellow,nan,nan,253,128,nan,5.96354918776557E-16,0.100423078067259,-92.1794898129162,11.4388866424561,10,nan,nan,nan,11.4388866424561,-0.0306759178638458,0.948794603347778,0,0,,,,
2129.511,da3_portrait_marker_orange,orange,nan,nan,259,134,nan,5.96354918776557E-16,0.100423078067259,-92.1794898129162,11.4586906433105,10,nan,nan,nan,11.4586906433105,-0.530314207077026,0.498828589916229,0,0,,,,
2129.544,da3_portrait_marker_red,red,nan,nan,237,133,nan,4.93855875227877E-16,0.0536719367310811,-92.1794898129162,11.3906831741333,10,nan,nan,nan,11.3906831741333,1.16845643520355,0.570546448230743,0,0,,,,
2129.544,da3_portrait_marker_purple,purple,nan,nan,250,137,nan,4.93855875227877E-16,0.0536719367310811,-92.1794898129162,11.42897605896,10,nan,nan,nan,11.42897605896,0.169179797172546,0.289222180843353,0,0,,,,
2129.544,da3_portrait_marker_green,green,nan,nan,245,124,nan,4.93855875227877E-16,0.0536719367310811,-92.1794898129162,11.4128274917603,10,nan,nan,nan,11.4128274917603,0.568890511989594,1.28920745849609,0,0,,,,
2129.544,da3_portrait_marker_yellow,yellow,nan,nan,253,129,nan,4.93855875227877E-16,0.0536719367310811,-92.1794898129162,11.4359741210938,10,nan,nan,nan,11.4359741210938,-0.0306757986545563,0.939229071140289,0,0,,,,
