ts,marker_id,color,det_u,det_v,gt_u,gt_v,pixel_err_px,roll_deg,pitch_deg,yaw_deg,gt_depth_geom_m,gt_depth_img_m,da3_raw_m,da3_lin_m,da3_quad_m,err_raw_m,err_lin_m,err_quad_m,jitter_m,gt_x_cam_m,gt_y_cam_m,gt_z_cam_m,blob_area_px,detected
721.237,da3_marker_green,green,206.325,118.90070921985816,207,120,1.2899865190399766,-1.1402965023412272e-255,-6.709084297878545e-236,-7.61738175912992e-05,3.2236716747283936,3.218672513961792,3.1166090965270996,2.171262852811813,2.030979352137764,0.10706257820129395,1.0524088219165804,1.1926923225906294,0.0072536468505859375,3.2236716747283936,0.9981429576873779,0.4613274335861206,47,1
721.237,da3_marker_cyan,cyan,161.04375,95.66666666666667,162,96,1.0126821681115599,-1.1402965023412272e-255,-6.709084297878545e-236,-7.61738175912992e-05,3.223670482635498,3.2186713218688965,3.1238625049591064,2.1748931837320327,2.03415195944627,0.0998079776763916,1.0487772989034654,1.189518523189228,0.004835605621337891,3.223670482635498,1.998142957687378,0.9813274145126343,52,1
721.237,da3_marker_yellow,yellow,220.0247844827586,117.91379310344827,221,119,1.4597570781417506,-1.1402965023412272e-255,-6.709084297878545e-236,-7.61738175912992e-05,3.2236721515655518,3.218672752380371,3.1166090965270996,2.171262852811813,2.030979352137764,0.10706305503845215,1.0524092987537386,1.1926927994277876,0.012089252471923828,3.2236721515655518,0.6981430053710938,0.4813274145126343,58,1
721.237,da3_marker_orange,orange,181.9125,127.94444444444444,183,129,1.515537456107309,-1.1402965023412272e-255,-6.709084297878545e-236,-7.61738175912992e-05,3.2236709594726562,3.218672513961792,3.1238625049591064,2.1748931837320327,2.03415195944627,0.0998084545135498,1.0487777757406236,1.1895190000263862,0.014507055282592773,3.2236709594726562,1.5381429195404053,0.26132750511169434,52,1
721.27,da3_marker_red,red,196.1880319148936,108.88888888888889,197,110,1.376175887183731,-2.735221021955754e-255,-6.838762495643329e-236,-7.61738175912992e-05,3.2236714363098145,3.218672752380371,3.1190268993377686,2.172472963118553,2.032036268723262,0.1046445369720459,1.0511984731912616,1.1916351675865524,0.0,3.2236714363098145,1.2181429862976074,0.6812291741371155,47,1
721.27,da3_marker_purple,purple,201.70053191489365,131.44444444444446,203,132,1.4132442391598858,-2.735221021955754e-255,-6.838762495643329e-236,-7.61738175912992e-05,3.2236716747283936,3.218672275543213,3.1214447021484375,2.173683073425293,2.033093804492764,0.10222697257995605,1.0499886013031006,1.1905778702356296,0.0024178028106689453,3.2236716747283936,1.0981428623199463,0.18122917413711548,47,1
721.27,da3_marker_green,green,206.325,118.90070921985816,207,120,1.2899865190399766,-2.735221021955754e-255,-6.838762495643329e-236,-7.61738175912992e-05,3.2236716747283936,3.218672513961792,3.1166090965270996,2.171262852811813,2.030979352137764,0.10706257820129395,1.0524088219165804,1.1926923225906294,0.0,3.2236716747283936,0.9981429576873779,0.461229145526886,47,1
721.27,da3_marker_cyan,cyan,161.04375,95.66666666666667,162,96,1.0126821681115599,-2.735221021955754e-255,-6.838762495643329e-236,-7.61738175912992e-05,3.223670482635498,3.2186713218688965,3.1214447021484375,2.173683073425293,2.033093804492764,0.10222578048706055,1.049987409210205,1.190576678142734,0.0024178028106689453,3.223670482635498,1.998142957687378,0.9812291264533997,52,1
721.27,da3_marker_yellow,yellow,219.76171875,118.17361111111111,221,119,1.4887105325685615,-2.735221021955754e-255,-6.838762495643329e-236,-7.61738175912992e-05,3.2236721515655518,3.218672752380371,3.1117732524871826,2.1688425128698348,2.028867272449301,0.11189889907836914,1.054829638695717,1.1948048791162509,0.004835844039916992,3.2236721515655518,0.6981430053710938,0.48122912645339966,48,1
721.27,da3_marker_orange,orange,181.9125,127.94444444444444,183,129,1.515537456107309,-2.735221021955754e-255,-6.838762495643329e-236,-7.61738175912992e-05,3.2236709594726562,3.218672513961792,3.1238625049591064,2.1748931837320327,2.03415195944627,0.0998084545135498,1.0487777757406236,1.1895190000263862,0.0,3.2236709594726562,1.5381429195404053,0.2612292170524597,52,1
721.302,da3_marker_red,red,196.1880319148936,108.88888888888889,197,110,1.376175887183731,-4.076746318827786e-255,-6.750339685329276e-236,-7.61738175912992e-05,3.2236714363098145,3.218672752380371,3.1166090965270996,2.171262852811813,2.030979352137764,0.10706233978271484,1.0524085834980013,1.1926920841720503,0.0024178028106689453,3.2236714363098145,1.2181429862976074,0.6810693144798279,47,1
721.302,da3_marker_purple,purple,201.70053191489365,131.44444444444446,203,132,1.4132442391598858,-4.076746318827786e-255,-6.750339685329276e-236,-7.61738175912992e-05,3.2236716747283936,3.218672275543213,3.1190268993377686,2.172472963118553,2.032036268723262,0.104644775390625,1.0511987116098407,1.1916354060051315,0.0024178028106689453,3.2236716747283936,1.0981428623199463,0.18106931447982788,47,1
721.302,da3_marker_green,green,206.325,118.90070921985816,207,120,1.2899865190399766,-4.076746318827786e-255,-6.750339685329276e-236,-7.61738175912992e-05,3.2236716747283936,3.218672513961792,3.1117732524871826,2.1688425128698348,2.028867272449301,0.11189842224121094,1.0548291618585588,1.1948044022790927,0.004835844039916992,3.2236716747283936,0.9981429576873779,0.4610692858695984,47,1
721.302,da3_marker_cyan,cyan,161.04375,95.66666666666667,162,96,1.0126821681115599,-4.076746318827786e-255,-6.750339685329276e-236,-7.61738175912992e-05,3.223670482635498,3.2186713218688965,3.1214447021484375,2.173683073425293,2.033093804492764,0.10222578048706055,1.049987409210205,1.190576678142734,0.0,3.223670482635498,1.998142957687378,0.9810692667961121,52,1
