map,iteration,drones,time
7,20,2,2.36
7,21,2,2.57
7,22,2,2.36
7,23,2,2.72
7,24,2,2.95
7,25,2,2.51
7,26,2,2.71
7,27,2,2.46
7,28,2,2.75
7,29,2,2.55
7,30,2,2.5
7,1,3,1.72
7,2,3,1.89
7,3,3,1.73
7,4,3,1.79
7,5,3,1.77
7,6,3,1.75
7,7,3,1.85
7,8,3,
7,9,3,2.47
7,10,3,1.77
7,11,3,1.82
7,12,3,2.08
7,13,3,1.69
7,14,3,2.23
7,15,3,1.75
7,16,3,1.82
7,17,3,1.99
7,18,3,1.75
7,19,3,1.99
7,20,3,1.75
7,21,3,1.72
7,22,3,1.98
7,23,3,1.73
7,24,3,2.36
7,25,3,1.59
7,26,3,1.69
7,27,3,1.65
7,28,3,1.77
7,29,3,2.17
7,30,3,
8,1,1,4.77
8,2,1,5.18
8,3,1,4.98
8,4,1,5.17
8,5,1,
8,6,1,4.8
8,7,1,4.96
8,8,1,4.9
8,9,1,4.82
8,10,1,4.75
8,11,1,6.13
8,12,1,9.37
8,13,1,10.23
8,14,1,4.99
8,15,1,5.06
8,16,1,4.89
8,17,1,4.9
8,18,1,4.88
8,19,1,5.13
8,20,1,5.26
8,21,1,5.11
8,22,1,4.92
8,23,1,5.05
8,24,1,5.13
8,25,1,4.79
8,26,1,5.01
8,27,1,4.94
8,28,1,5.06
8,29,1,5.1
8,30,1,4.78
8,1,2,2.85
8,2,2,2.52
8,3,2,2.55
8,4,2,2.91
8,5,2,2.8
8,6,2,2.76
8,7,2,2.76
8,8,2,2.58
8,9,2,2.79
8,10,2,3.04
8,11,2,2.77
8,12,2,2.56
8,13,2,2.86
8,14,2,2.66
8,15,2,2.68
8,16,2,2.66
8,17,2,2.86
8,18,2,2.57
8,19,2,2.64
8,20,2,2.4
8,21,2,
8,22,2,2.64
8,23,2,2.63
8,24,2,2.65
8,25,2,2.98
8,26,2,2.71
8,27,2,3.38
8,28,2,
8,29,2,2.74
8,30,2,3.07
8,1,3,1.91
8,2,3,1.9
8,3,3,1.88
8,4,3,1.93
8,5,3,1.86
8,6,3,1.9
8,7,3,1.99
8,8,3,1.8
8,9,3,1.89
8,10,3,1.8
8,11,3,1.91
8,12,3,3.92
8,13,3,2.92
8,14,3,3.48
8,15,3,2.88
8,16,3,3.77
8,17,3,4.13
8,18,3,4.42
8,19,3,4.41
8,20,3,3.61
8,21,3,4.0
8,22,3,3.94
8,23,3,4.29
8,24,3,
8,25,3,3.17
8,26,3,2.76
8,27,3,2.82
8,28,3,3.2
8,29,3,3.56
8,30,3,3.43
9,1,1,14.78
9,2,1,15.13
9,3,1,13.1
9,4,1,14.81
9,5,1,16.1
9,6,1,
9,7,1,
9,8,1,11.1
9,9,1,10.77
9,10,1,
9,11,1,
9,12,1,15.83
9,13,1,15.58
9,14,1,5.62
9,15,1,5.48
9,16,1,5.71
9,17,1,5.56
9,18,1,5.63
9,19,1,5.52
9,20,1,5.65
9,21,1,6.15
9,22,1,5.71
9,23,1,5.68
9,24,1,5.8
9,25,1,
9,26,1,5.53
9,27,1,5.56
9,28,1,5.87
9,29,1,5.62
9,30,1,5.84
9,1,2,3.33
9,2,2,3.02
9,3,2,3.09
9,4,2,2.75
9,5,2,3.12
9,6,2,3.15
9,7,2,3.41
9,8,2,2.83
9,9,2,3.34
9,10,2,3.05
9,11,2,2.82
9,12,2,3.2
9,13,2,2.88
9,14,2,2.89
9,15,2,3.12
9,16,2,3.07
9,17,2,2.85
9,18,2,3.04
9,19,2,2.85
9,20,2,3.36
9,21,2,3.06
9,22,2,2.74
9,23,2,
9,24,2,2.98
9,25,2,2.83
9,26,2,2.61
9,27,2,3.19
9,28,2,3.18
9,29,2,3.08
9,30,2,3.41
9,1,3,2.45
9,2,3,
9,3,3,1.97
9,4,3,2.16
9,5,3,2.42
9,6,3,2.26
9,7,3,2.47
9,8,3,2.48
9,9,3,2.32
9,10,3,2.32
9,11,3,2.01
9,12,3,2.56
9,13,3,2.12
9,14,3,2.0
9,15,3,2.15
9,16,3,2.91
9,17,3,2.11
9,18,3,1.97
9,19,3,2.45
9,20,3,2.14
9,21,3,2.27
9,22,3,1.99
9,23,3,2.35
9,24,3,2.4
9,25,3,2.24
9,26,3,2.09
9,27,3,2.16
9,28,3,2.19
9,29,3,2.25
9,30,3,2.17
