map,iteration,drones,time
6,19,1,13.18
6,20,1,13.6
6,21,1,13.4
6,22,1,13.2
6,23,1,13.21
6,24,1,13.78
6,25,1,13.5
6,26,1,13.54
6,27,1,13.55
6,28,1,13.67
6,29,1,13.38
6,30,1,13.56
6,1,2,6.78
6,2,2,6.52
6,3,2,6.63
6,4,2,6.95
6,5,2,6.96
6,6,2,6.45
6,7,2,6.42
6,8,2,6.5
6,9,2,6.67
6,10,2,6.73
6,11,2,7.0
6,12,2,7.06
6,13,2,6.8
6,14,2,7.06
6,15,2,6.4
6,16,2,7.09
6,17,2,7.05
6,18,2,6.85
6,19,2,7.34
6,20,2,6.46
6,21,2,6.8
6,22,2,6.93
6,23,2,7.24
6,24,2,6.77
6,25,2,8.7
6,26,2,6.91
6,27,2,6.83
6,28,2,6.47
6,29,2,7.1
6,30,2,6.52
6,1,3,4.97
6,2,3,4.54
6,3,3,4.88
6,4,3,4.8
6,5,3,4.8
6,6,3,5.05
6,7,3,4.29
6,8,3,4.33
6,9,3,4.67
6,10,3,4.78
6,11,3,4.38
6,12,3,4.57
6,13,3,4.78
6,14,3,4.75
6,15,3,4.61
6,16,3,4.87
6,17,3,6.23
6,18,3,4.43
6,19,3,4.96
6,20,3,5.13
6,21,3,4.24
6,22,3,5.32
6,23,3,4.19
6,24,3,4.67
6,25,3,4.46
6,26,3,5.03
6,27,3,4.69
6,28,3,5.47
6,29,3,4.74
6,30,3,4.45
7,1,1,13.56
7,2,1,13.19
7,3,1,12.99
7,4,1,13.09
7,5,1,13.21
7,6,1,12.98
7,7,1,13.2
7,8,1,13.15
7,9,1,13.08
7,10,1,12.97
7,11,1,13.07
7,12,1,13.04
7,13,1,13.23
7,14,1,12.99
7,15,1,13.17
7,16,1,13.02
7,17,1,13.16
7,18,1,13.17
7,19,1,13.09
7,20,1,13.16
7,21,1,13.05
7,22,1,13.23
7,23,1,21.69
7,24,1,32.56
7,25,1,33.65
7,26,1,32.21
7,27,1,26.14
7,28,1,26.64
7,29,1,30.67
7,30,1,24.34
7,1,2,19.09
